beta1,beta2,nand_beta_z,or_beta_z,xor_beta_z
0.647798742138,0,0.999998800439,0.913976585952,0.998670923765
0.654088050314,0,0.999998673447,0.921565360735,0.998822706834
0.660377358491,0,0.99999853301,0.928537051224,0.998946837599
0.666666666667,0,0.999998377705,0.934932842376,0.999049179702
0.672955974843,0,0.999998205959,0.94079274708,0.99913419949
0.679245283019,0,0.999998016031,0.94615532737,0.999205329529
0.685534591195,0,0.999997805997,0.95105748804,0.99926523089
0.691823899371,0,0.999997573726,0.955534332818,0.999315983976
0.698113207547,0,0.999997316867,0.95961907368,0.999359228506
0.704402515723,0,0.999997032814,0.963342984526,0.999396267044
0.710691823899,0,0.999996718691,0.96673539123,0.999428142169
0.716981132075,0,0.999996371312,0.969823690938,0.999455694448
0.723270440252,0,0.999995987158,0.972633394353,0.99947960632
0.729559748428,0,0.999995562336,0.975188185604,0.999500435561
0.735849056604,0,0.999995092539,0.977509995094,0.999518640982
0.74213836478,0,0.999994573008,0.979619081462,0.999534602302
0.748427672956,0,0.999993998476,0.981534119461,0.999548635625
0.754716981132,0,0.999993363122,0.983272291137,0.999561005561
0.761006289308,0,0.999992660506,0.984849378215,0.999571934793
0.767295597484,0,0.999991883507,0.986279854022,0.99958161166
0.77358490566,0,0.999991024253,0.987576973681,0.999590196214
0.779874213836,0,0.999990074034,0.988752861596,0.999597825084
0.786163522013,0,0.999989023221,0.989818595526,0.999604615394
0.792452830189,0,0.999987861165,0.990784286758,0.999610667953
0.798742138365,0,0.99998657609,0.991659156056,0.999616069851
0.805031446541,0,0.999985154973,0.992451605222,0.999620896591
0.811320754717,0,0.999983583412,0.993169284191,0.999625213842
0.817610062893,0,0.999981845481,0.993819153678,0.999629078895
0.823899371069,0,0.99997992357,0.994407543473,0.999632541876
0.830188679245,0,0.999977798201,0.994940206515,0.999635646748
0.836477987421,0,0.999975447838,0.995422368901,0.999638432167
0.842767295597,0,0.999972848665,0.995858776035,0.999640932195
0.849056603774,0,0.999969974342,0.99625373513,0.999643176902
0.85534591195,0,0.999966795745,0.996611154256,0.999645192885
0.861635220126,0,0.999963280666,0.996934578181,0.9996470037
0.867924528302,0,0.999959393487,0.997227221192,0.999648630242
0.874213836478,0,0.999955094822,0.997491997138,0.999650091064
0.880503144654,0,0.999950341117,0.997731546876,0.999651402656
0.88679245283,0,0.999945084208,0.997948263329,0.999652579682
0.893081761006,0,0.999939270835,0.998144314335,0.999653635187
0.899371069182,0,0.9999328421,0.998321663476,0.999654580779
0.905660377358,0,0.999925732876,0.998482089036,0.999655426783
0.911949685535,0,0.999917871143,0.998627201254,0.999656182378
0.918238993711,0,0.999909177263,0.998758458015,0.999656855715
0.924528301887,0,0.99989956317,0.998877179107,0.999657454018
0.930817610063,0,0.999888931485,0.998984559177,0.999657983679
0.937106918239,0,0.999877174527,0.999081679489,0.999658450331
0.943396226415,0,0.999864173227,0.999169518604,0.99965885892
0.949685534591,0,0.999849795923,0.99924896206,0.999659213762
0.955974842767,0,0.99983389703,0.999320811163,0.999659518594
0.962264150943,0,0.99981631557,0.999385790949,0.999659776621
0.968553459119,0,0.999796873548,0.999444557405,0.999659990546
0.974842767296,0,0.999775374155,0.999497704018,0.999660162609
0.981132075472,0,0.999751599779,0.999545767697,0.999660294609
0.987421383648,0,0.999725309818,0.999589234152,0.999660387924
0.993710691824,0,0.99969623825,0.999628542757,0.999660443527
1,0,0.999664090955,0.999664090955,0.999660461997
0,0.0062893081761,0.999999999958,0.000370530489184,0.00033706264297
0.0062893081761,0.0062893081761,0.999999999954,0.000409741062627,0.000337274100601
0.0125786163522,0.0062893081761,0.999999999949,0.00045309912636,0.000337508079519
0.0188679245283,0.0062893081761,0.999999999943,0.000501042960886,0.000337766994166
