architecture,initial_state,time,system_excited_population,system_purity,drive_power
direct,ground,20.0,0.5834601200544389,0.5139311832790027,0.0
direct,ground,20.07142857142857,0.5843011341653832,0.5142133624431399,0.0
direct,ground,20.142857142857142,0.5851373561656501,0.5144967388297536,0.0
direct,ground,20.21428571428571,0.58596881335278,0.5147812737385702,0.0
direct,ground,20.285714285714285,0.5867955328692519,0.5150669290521148,0.0
direct,ground,20.357142857142858,0.5876175417034931,0.5153536672283268,0.0
direct,ground,20.428571428571427,0.588434866690889,0.5156414512932707,0.0
direct,ground,20.5,0.5892475345147933,0.5159302448339385,0.0
direct,ground,20.57142857142857,0.5900555717075384,0.5162200119911431,0.0
direct,ground,20.642857142857142,0.5908590046514454,0.5165107174525029,0.0
direct,ground,20.71428571428571,0.5916578595798331,0.5168023264455128,0.0
direct,ground,20.785714285714285,0.5924521625780298,0.5170948047307089,0.0
direct,ground,20.857142857142858,0.593241939584382,0.5173881185949151,0.0
direct,ground,20.928571428571427,0.5940272163912649,0.5176822348445795,0.0
direct,ground,21.0,0.5948080186460927,0.5179771207991958,0.0
direct,ground,21.07142857142857,0.595584371852328,0.5182727442848082,0.0
direct,ground,21.142857142857142,0.596356301370493,0.5185690736276025,0.0
direct,ground,21.21428571428571,0.597123832419178,0.5188660776475771,0.0
direct,ground,21.285714285714285,0.597886990076053,0.5191637256522986,0.0
direct,ground,21.357142857142858,0.5986457992788764,0.5194619874307368,0.0
direct,ground,21.428571428571427,0.5994002848265062,0.519760833247181,0.0
direct,ground,21.5,0.6001504713799094,0.520060233835236,0.0
direct,ground,21.57142857142857,0.6008963834631721,0.5203601603918949,0.0
direct,ground,21.642857142857142,0.6016380454645098,0.5206605845716915,0.0
direct,ground,21.71428571428571,0.6023754816372773,0.5209614784809289,0.0
direct,ground,21.785714285714285,0.6031087161009787,0.5212628146719844,0.0
direct,ground,21.857142857142858,0.6038377728422777,0.5215645661376889,0.0
direct,ground,21.928571428571427,0.6045626757160072,0.5218667063057818,0.0
direct,ground,22.0,0.60528344844618,0.5221692090334389,0.0
direct,ground,22.07142857142857,0.6060001144480553,0.5224720485260017,0.0
direct,ground,22.142857142857142,0.6067126966696718,0.5227751992610268,0.0
direct,ground,22.21428571428571,0.6074212183401609,0.5230786362993691,0.0
direct,ground,22.285714285714285,0.6081257025822725,0.5233823351178202,0.0
direct,ground,22.357142857142858,0.6088261723883517,0.5236862715933985,0.0
direct,ground,22.428571428571427,0.6095226506212467,0.5239904219982074,0.0
direct,ground,22.5,0.6102151600152158,0.5242947629943593,0.0
direct,ground,22.57142857142857,0.6109037231768347,0.524599271628968,0.0
direct,ground,22.642857142857142,0.611588362585904,0.5249039253292064,0.0
direct,ground,22.71428571428571,0.612269100596356,0.5252087018974295,0.0
direct,ground,22.785714285714285,0.6129459594371621,0.5255135795063621,0.0
direct,ground,22.857142857142854,0.6136189612132407,0.5258185366943517,0.0
direct,ground,22.928571428571427,0.6142881279063633,0.5261235523606825,0.0
direct,ground,23.0,0.6149534813760629,0.5264286057609536,0.0
direct,ground,23.07142857142857,0.6156150433605404,0.5267336765025192,0.0
direct,ground,23.142857142857142,0.6162728354775724,0.5270387445399893,0.0
direct,ground,23.21428571428571,0.6169268792254181,0.527343790170791,0.0
direct,ground,23.285714285714285,0.6175771959837272,0.5276487940307917,0.0
direct,ground,23.357142857142854,0.618223807014446,0.5279537370899781,0.0
direct,ground,23.428571428571427,0.618866733462726,0.5282586006481975,0.0
direct,ground,23.5,0.6195059963578302,0.5285633663309555,0.0
direct,ground,23.57142857142857,0.6201416166140407,0.5288680160852702,0.0
direct,ground,23.642857142857142,0.620773615031566,0.5291725321755858,0.0
direct,ground,23.71428571428571,0.6214020122974483,0.5294768971797397,0.0
direct,ground,23.785714285714285,0.6220268289864704,0.5297810939849866,0.0
direct,ground,23.857142857142854,0.6226480855620636,0.5300851057840785,0.0
direct,ground,23.928571428571427,0.6232658023772144,0.530388916071397,0.0
direct,ground,24.0,0.6238799996753718,0.5306925086391402,0.0
direct,ground,24.07142857142857,0.624490697591355,0.5309958675735644,0.0
direct,ground,24.142857142857142,0.6250979161522603,0.531298977251276,0.0
direct,ground,24.21428571428571,0.6257016752783682,0.5316018223355766,0.0
direct,ground,24.285714285714285,0.6263019947840514,0.5319043877728611,0.0
direct,ground,24.357142857142854,0.626898894378681,0.5322066587890633,0.0
direct,ground,24.428571428571427,0.6274923936675346,0.5325086208861552,0.0
direct,ground,24.5,0.6280825121527036,0.532810259838695,0.0
direct,ground,24.57142857142857,0.6286692691056203,0.5331115616243491,0.0
direct,ground,24.642857142857142,0.6292526826915726,0.5334125119659368,0.0
direct,ground,24.71428571428571,0.6298327717132072,0.5337130972214676,0.0
direct,ground,24.785714285714285,0.6304095551015481,0.5340133041235675,0.0
direct,ground,24.857142857142854,0.6309830516811834,0.5343131196554312,0.0
direct,ground,24.928571428571427,0.6315532801710229,0.5346125310475113,0.0
direct,ground,25.0,0.6321202591850545,0.534911525774252,0.0
direct,excited,0.0,1.0,1.0,0.0
direct,excited,0.07142857142857142,0.9984675743885063,0.9969398454335221,0.0
direct,excited,0.14285714285714285,0.9969438805578493,0.993906440847788,0.0
direct,excited,0.21428571428571427,0.9954288687364475,0.9908995279549524,0.0
direct,excited,0.2857142857142857,0.9939224896186489,0.9879188515021686,0.0
direct,excited,0.3571428571428571,0.9924246942300449,0.9849641589751064,0.0
direct,excited,0.42857142857142855,0.9909354334962573,0.9820351997243162,0.0
direct,excited,0.5,0.9894546583429081,0.9791317251471459,0.0
direct,excited,0.5714285714285714,0.9879823203629108,0.9762534899735409,0.0
direct,excited,0.6428571428571428,0.9865183724723025,0.9734002535061961,0.0
direct,excited,0.7142857142857142,0.9850627665676244,0.9705717750204752,0.0
direct,excited,0.7857142857142857,0.9836154544959141,0.9677678156545793,0.0
direct,excited,0.8571428571428571,0.982176388286895,0.964988138842789,0.0
direct,excited,0.9285714285714285,0.9807455216237212,0.9622325131225276,0.0
direct,excited,1.0,0.9793228080002047,0.9595007085384022,0.0
direct,excited,1.0714285714285714,0.9779082009512243,0.9567924970728716,0.0
direct,excited,1.1428571428571428,0.9765016542807143,0.9541076530645147,0.0
direct,excited,1.2142857142857142,0.9751031220616634,0.9514459531854795,0.0
direct,excited,1.2857142857142856,0.9737125586361155,0.9488071764191504,0.0
direct,excited,1.357142857142857,0.9723299186132206,0.9461911040343431,0.0
